,Time,Tweet,Favorites,Retweets
0,2019-06-10 14:28:02,Be the change! https://t.co/iRXM9e608e #plasticsucks #saveouroceans #chooseglass https://t.co/DO5dntrIIM,1,0
1,2019-06-10 13:47:31,@Southern_Living Glass packaging is #oceanfriendly too! #chooseglass,0,0
2,2019-06-10 13:45:56,"According to @PopSci, your best bet for getting \'@CocaColaCo\'s pure, unaltered taste\' is sipping it from a glass b https://t.co/t4ilbnZNt1",0,0
3,2019-06-10 12:53:11,"RT @GlassIsLife: DYK: Glass is 100% recyclable, infinitely! and in Europe, it's actually already made of an average of 52% recycled glass s",0,3
4,2019-06-10 12:36:38,RT @GlassIsLife: Will you think about it next time you go shopping? #chooseglass #CheersFromTheOcean #WorldOceansDay https://t.co/7ysud7bY34,0,3
5,2019-06-10 12:25:11,RT @GlassIsLife: Will you think about it next time you go shopping? #chooseglass #CheersFromTheOcean #WorldOceansDay https://t.co/7ysud7bY34,0,3
6,2019-06-10 12:10:14,Milkmen making a comeback as families shun plastic milk containers. #ChooseGlass #Sustainability https://t.co/VNrZSzaDeQ,1,0
7,2019-06-10 11:03:12,RT @GlassIsLife: Will you think about it next time you go shopping? #chooseglass #CheersFromTheOcean #WorldOceansDay https://t.co/7ysud7bY34,0,3
8,2019-06-10 10:47:31,RT @ChooseGlass: New report shows even more plastic pollution in the deep ocean. Another reason to reduce plastic use &amp; #chooseglass.  http,0,1
9,2019-06-10 08:17:06,"World Oceans Day may have passed but that doesn't mean you should stop caring about our oceans! By choosing, reusin https://t.co/dtDsVbyTDv",1,0
10,2019-06-10 06:26:30,"RT @ChooseGlass: Over a ton of natural resources are conserved for every ton of glass recycled, including 1,300 pounds of sand, 410 pounds",0,6
11,2019-06-10 05:04:34,Will you think about it next time you go shopping? #chooseglass #CheersFromTheOcean #WorldOceansDay https://t.co/7ysud7bY34,8,3
12,2019-06-08 17:13:40,RT @Lifefactory: Celebrate World Oceans Day by saying no to single use hydration and beverage products. #ChooseGlass #Lifefactory #WorldOce,0,2
13,2019-06-08 15:52:28,RT @BeStrawesome: It takes more than you think to break our glass straws because they are made from the strongest commercially available gl,0,1
14,2019-06-08 15:45:10,Celebrate World Oceans Day by saying no to single use hydration and beverage products. #ChooseGlass #Lifefactory https://t.co/w5i6ah2vIN,4,2
15,2019-06-08 14:28:00,It takes more than you think to break our glass straws because they are made from the strongest commercially availa https://t.co/Ev6ADBwOb6,2,1
16,2019-06-08 07:44:39,RT @FriendsGlassUK: It's so good to see milk back where it belongs - in glass bottles! https://t.co/MoFmswY1Tf #ChooseGlass,0,1
17,2019-06-07 23:00:35,RT @PattesonsGlass: Never underestimate the power of #glass packaging! #ChooseGlass\nhttps://t.co/QTwg1O0Vcf,0,3
18,2019-06-07 17:21:01,New report shows even more plastic pollution in the deep ocean. Another reason to reduce plastic use &amp; #chooseglass https://t.co/SqceVCfSMs,1,1
19,2019-06-07 17:01:21,"Made from all-natural ingredients, #glass bottles &amp; jars protect natural goodness without chemicals that can migrat https://t.co/MiNp2uGsG0",2,0
20,2019-06-07 15:09:07,RT @PattesonsGlass: Never underestimate the power of #glass packaging! #ChooseGlass\nhttps://t.co/QTwg1O0Vcf,0,3
21,2019-06-07 15:08:40,Never underestimate the power of #glass packaging! #ChooseGlass\nhttps://t.co/QTwg1O0Vcf,2,3
22,2019-06-07 13:50:51,RT @Glass_Int: Sisecams Burcin Gul wins Furnace Solutions best paper award\n@TSCFAS #glassmaking #digitalmanufacturing #chooseglass #glassm,0,1
23,2019-06-07 13:29:28,Sisecams Burcin Gul wins Furnace Solutions best paper award\n@TSCFAS #glassmaking #digitalmanufacturing https://t.co/Ogx4wH458C,2,1
24,2019-06-07 13:02:33,Glass is the ultimate reusable packaging material - it's inert so it won't leach any chemicals into your food no ma https://t.co/r7czVwadNI,3,0
25,2019-06-07 12:52:44,Definitely worth a read! #chooseglass #tastesbetteringlass \n#glasspackaging https://t.co/v5GzqWGp36,0,0
26,2019-06-07 12:50:49,It always makes sense to #chooseglass! https://t.co/eWGvqnHR7X,0,0
27,2019-06-07 11:26:37,Using refillable beer bottles for wine? Brilliant! #chooseglass https://t.co/ckyIJbvR3I,1,0
28,2019-06-07 11:10:25,"RT @ChooseGlass: In response to customer demand, Graham's Family Daily delivers fresh local milk in #glass bottles. #ChooseGlass #ReuseeGla",0,2
29,2019-06-07 08:56:18,"RT @GlassIsLife: DYK: Glass is 100% recyclable, infinitely! and in Europe, it's actually already made of an average of 52% recycled glass s",0,3
30,2019-06-07 08:33:31,"RT @GlassIsLife: Emotive and transformative, why #brands are rapidly choosing glass https://t.co/sSeDv4Z4iW via @raconteur #packaging #pack",0,1
31,2019-06-07 08:30:06,"Emotive and transformative, why #brands are rapidly choosing glass https://t.co/sSeDv4Z4iW via @raconteur https://t.co/34M3FaxZ3H",0,1
32,2019-06-07 08:25:01,"DYK: Glass is 100% recyclable, infinitely! and in Europe, it's actually already made of an average of 52% recycled https://t.co/OkDazLyabL",7,3
33,2019-06-07 08:00:22,RT @Consol_Glass: Here's something we all should remember on #WorldEnvironmentDay. Switching to glass is one of the simplest ways to do you,0,28
34,2019-06-07 07:31:52,RT @Consol_Glass: Here's something we all should remember on #WorldEnvironmentDay. Switching to glass is one of the simplest ways to do you,0,28
35,2019-06-07 07:27:30,It's so good to see milk back where it belongs - in glass bottles! https://t.co/MoFmswY1Tf #ChooseGlass,7,1
