,Time,Tweet,Favorites,Retweets,Sentiment,keyPhrases
0,2019-06-21 13:57:02,Hoping the rain were getting in Calgary is traveling south to those who need it. | Drought forces producers to sel https://t.co/HX2ROQSxNL,0,0,0.8176437616348267,"['Drought forces producers', 'sel', 'rain', 'Calgary']"
1,2019-06-21 10:28:37,"RT @soraazure: @hiroshimilano 9OK,NG\nhttps://t.co/KcpsC5Tp5A ",0,2,0.31900471448898315,"['hiroshimilano', 'soraazure', 'RT', 'NG']"
2,2019-06-21 04:06:32,"RT @soraazure: @hiroshimilano 9OK,NG\nhttps://t.co/KcpsC5Tp5A ",0,2,0.31900471448898315,"['hiroshimilano', 'soraazure', 'RT', 'NG']"
3,2019-06-20 22:33:00,"@hiroshimilano 9OK,NG\nhttps://t.co/KcpsC5Tp5A  https://t.co/x5tDd00QpI",2,2,0.7746003866195679,"['hiroshimilano', 'NG']"
4,2019-06-20 12:48:28,"https://t.co/fAPWeK0dLj ,272,172784 https://t.co/C63rhJ9UhI",0,0,0.8436731100082397,[]
5,2019-06-20 12:41:44, \n  https://t.co/6Td08ScQfG,0,0,0.2430199384689331,[]
6,2019-06-20 12:36:20,https://t.co/XldsvUAGPP-&gt; https://t.co/4Bl5vrPEgE,0,0,0.8243210315704346,[]
7,2019-06-20 09:07:09,RT @soraazure: @LindenMesicku @Day_Swing  ,0,1,0.5,"['LindenMesicku', 'soraazure', 'Day', 'RT', 'Swing']"
8,2019-06-19 22:38:42,@LindenMesicku @Day_Swing   https://t.co/AouZi0LgDl,1,1,0.7526739239692688,"['LindenMesicku', 'Day', 'Swing']"
9,2019-06-19 22:34:49,RT @Day_Swing: LOCAL SELF-GOVERNMENT\n\n\n\n\n\n,0,1,0.5,"['Day', 'Swing', 'LOCAL SELF-GOVERNMENT', 'RT']"
10,2019-06-19 22:34:37,RT @soraazure: @Day_Swing @Day_Swing2,0,1,0.5,"['Day', 'soraazure', 'Swing2', 'RT']"
11,2019-06-19 22:34:24,RT @Day_Swing: \n\n141\n\n,0,2,0.5,"['RT', 'Day', 'Swing']"
12,2019-06-19 22:30:59, #2370 https://t.co/S0C1FOKjxV,0,0,0.8436731100082397,[]
13,2019-06-19 22:22:20,12 https://t.co/YX1bI0n1VB  \n https://t.co/XyOnccqGPe,0,0,0.7796863317489624,[]
14,2019-06-19 15:12:07,. https://t.co/ClalphPiH5,0,0,0.8243210315704346,[]
15,2019-06-21 14:49:50,RT @ArtofWarm: This is the Glass Window Bridge in Eleuthera. 30 feet of rock separate the calm shallow lagoon-like waters of the Bight of E,0,1,0.8541046977043152,"['waters', 'calm shallow lagoon', 'Glass Window Bridge', 'feet of rock', 'ArtofWarm', 'Eleuthera', 'Bight of E']"
16,2019-06-21 14:49:48,"RT @feesfusions: Fused Red Pendant - Pot Melt Pendant - Red Glass Jewelry - Marble Effect - Measures  1.25"" x 1.50"" https://t.co/qxb0Jw5ee9",0,34,0.5,"['Fused Red Pendant - Pot Melt Pendant - Red Glass Jewelry - Marble Effect - Measures', 'feesfusions', 'RT']"
17,2019-06-21 14:49:48,RT @myLondis: It's #WinItWednesday! What's better than chilling with a glass of wine in the sun?! \n\nFor your chance to #WIN a case of Lind,0,1625,0.5,"['chilling', 'glass of wine', 'RT', 'myLondis', 'WinItWednesday', 'case of Lind', 'chance']"
18,2019-06-21 14:49:47,@PattesonsGroup #beer #bottle #glass #betteringlass,0,0,0.7347787022590637,"['beer', 'bottle', 'PattesonsGroup', 'betteringlass']"
19,2019-06-21 14:49:47,"RT @drrjkavanagh: A guard at Cuyahoga County jail placed Chantelle Glass in a restraint chair, punched her, then pepper sprayed her inches",0,2456,0.5,"['Chantelle Glass', 'guard', 'Cuyahoga County jail', 'drrjkavanagh', 'restraint chair', 'pepper', 'RT', 'inches']"
20,2019-06-21 14:49:45,"@realDonaldTrump Again:\n\nThrowing stones in a glass house, Donnie. It's called 'karma'. Try having one of your lack https://t.co/ZI8O4XydTx",0,0,0.20511993765830994,"['stones', 'glass house', 'realDonaldTrump', 'Donnie', 'karma', 'lack']"
21,2019-06-21 14:49:45,#poetry #shuffle \nI play songs on my iPhone on Shuffle. Shuffling brings up T. S. Eliot's reading of his great poem https://t.co/o46LLcNOej,0,0,0.9148098230361938,"['shuffle', 'nI play songs', ""Eliot's reading"", 'iPhone', 'poetry', 'great poem', 'Shuffling']"
22,2019-06-21 14:49:41, https://t.co/oV6ZHXzQRj,0,0,0.7526739239692688,[]
23,2019-06-21 14:49:40,Here are a few more #NIPD2019 #NIPDCanada #nipd titles for today and everyday https://t.co/AfhljaQ3E1 including https://t.co/hp8u93MbLN,0,0,0.8108868598937988,"['nipd titles', 'NIPD2019', 'NIPDCanada']"
24,2019-06-21 14:49:38,RT @drdique: Why are birds TVs in their rooms always heavy shite n small needty turn up to the gaff wae a magnifying glass to sit n watch l,0,599,0.12033239006996155,"['n watch', 'heavy shite n small needty', 'rooms', 'birds TVs', 'gaff wae', 'magnifying glass', 'drdique', 'RT']"
25,2019-06-21 14:49:38,RT @lottelydia: A collapsible truncheon! An inflatable landmine! A tiny miniature tank that expands to regular size when dropped into a gla,0,210,0.5,"['regular size', 'tiny miniature tank', 'RT', 'lottelydia', 'collapsible truncheon', 'gla', 'inflatable landmine']"
26,2019-06-21 14:49:36,"RT @mrsg_mchs: But for Native people in this country, all over the Americas, it has been developed over, buried ancestral land, glass and",0,1,0.2002456784248352,"['mchs', 'Native people', 'country', 'mrsg', 'ancestral land', 'glass', 'RT', 'Americas']"
27,2019-06-21 14:49:36,"@psi_666980 I was there watching her very closely the whole time, if she slipped even a little bit I would've rescu https://t.co/oT0hoZeXEh",0,0,0.5,"['rescu', 'psi', 'time']"
28,2019-06-21 13:57:02,Hoping the rain were getting in Calgary is traveling south to those who need it. | Drought forces producers to sel https://t.co/HX2ROQSxNL,0,0,0.8176437616348267,"['Drought forces producers', 'sel', 'rain', 'Calgary']"
29,2019-06-21 10:28:37,"RT @soraazure: @hiroshimilano 9OK,NG\nhttps://t.co/KcpsC5Tp5A ",0,2,0.31900471448898315,"['hiroshimilano', 'soraazure', 'RT', 'NG']"
30,2019-06-21 04:06:32,"RT @soraazure: @hiroshimilano 9OK,NG\nhttps://t.co/KcpsC5Tp5A ",0,2,0.31900471448898315,"['hiroshimilano', 'soraazure', 'RT', 'NG']"
31,2019-06-20 22:33:00,"@hiroshimilano 9OK,NG\nhttps://t.co/KcpsC5Tp5A  https://t.co/x5tDd00QpI",2,2,0.7746003866195679,"['hiroshimilano', 'NG']"
32,2019-06-20 12:48:28,"https://t.co/fAPWeK0dLj ,272,172784 https://t.co/C63rhJ9UhI",0,0,0.8436731100082397,[]
33,2019-06-20 12:41:44, \n  https://t.co/6Td08ScQfG,0,0,0.2430199384689331,[]
34,2019-06-20 12:36:20,https://t.co/XldsvUAGPP-&gt; https://t.co/4Bl5vrPEgE,0,0,0.8243210315704346,[]
35,2019-06-20 09:07:09,RT @soraazure: @LindenMesicku @Day_Swing  ,0,1,0.5,"['LindenMesicku', 'soraazure', 'Day', 'RT', 'Swing']"
36,2019-06-19 22:38:42,@LindenMesicku @Day_Swing   https://t.co/AouZi0LgDl,1,1,0.7526739239692688,"['LindenMesicku', 'Day', 'Swing']"
37,2019-06-19 22:34:49,RT @Day_Swing: LOCAL SELF-GOVERNMENT\n\n\n\n\n\n,0,1,0.5,"['Day', 'Swing', 'LOCAL SELF-GOVERNMENT', 'RT']"
38,2019-06-19 22:34:37,RT @soraazure: @Day_Swing @Day_Swing2,0,1,0.5,"['Day', 'soraazure', 'Swing2', 'RT']"
39,2019-06-19 22:34:24,RT @Day_Swing: \n\n141\n\n,0,2,0.5,"['RT', 'Day', 'Swing']"
40,2019-06-19 22:30:59, #2370 https://t.co/S0C1FOKjxV,0,0,0.8436731100082397,[]
41,2019-06-19 22:22:20,12 https://t.co/YX1bI0n1VB  \n https://t.co/XyOnccqGPe,0,0,0.7796863317489624,[]
42,2019-06-19 15:12:07,. https://t.co/ClalphPiH5,0,0,0.8243210315704346,[]
43,2019-06-21 14:50:24,https://t.co/eKTUlA66DE,0,0,0.7526739239692688,[]
44,2019-06-21 14:50:24,RT @business: The banking industrys glass ceiling has long proven particularly thick https://t.co/aERApFwF0J,0,6,0.7740616798400879,"['banking industrys glass ceiling', 'business', 'RT']"
45,2019-06-21 14:50:24,RT @EtsySocial: Murano Glass Colorful  https://t.co/1UURC0xXUz via @EtsySocial #EtsySocial https://t.co/xnnLHXcEOF,0,16,0.953055739402771,"['EtsySocial', 'Murano Glass Colorful', 'RT']"
46,2019-06-21 14:50:24,RT @badelman_: @hannahg_hales Are you acting like it reallllly matters and that we arent gonna turn up anyways bc lets be real(,0,1,0.5,"['gonna', 'bc', 'RT', 'badelman', 'hannahg', 'reallllly matters']"
47,2019-06-21 14:50:23,RT @Seesom_Kpop:    7  (2/IG 5 ) 70k IG...   GOT,0,3994,0.5,"['IG', 'Kpop', 'RT', 'Seesom']"
48,2019-06-21 14:50:22,RT @EtsySocial: Murano Glass Colorful  https://t.co/1UURC0xXUz via @EtsySocial #EtsySocial https://t.co/xnnLHXcEOF,0,16,0.953055739402771,"['EtsySocial', 'Murano Glass Colorful', 'RT']"
49,2019-06-21 14:50:20,RT @EtsySocial: Murano Glass Colorful  https://t.co/1UURC0xXUz via @EtsySocial #EtsySocial https://t.co/xnnLHXcEOF,0,16,0.953055739402771,"['EtsySocial', 'Murano Glass Colorful', 'RT']"
50,2019-06-21 14:50:18,RT @EtsySocial: Murano Glass Colorful  https://t.co/1UURC0xXUz via @EtsySocial #EtsySocial https://t.co/xnnLHXcEOF,0,16,0.953055739402771,"['EtsySocial', 'Murano Glass Colorful', 'RT']"
51,2019-06-21 14:50:18,RT @Fact: Drinking a cold glass of water in the morning will wake you faster than a cup of coffee. Apples are also better.,0,115,0.8639239072799683,"['cold glass of water', 'Fact', 'morning', 'RT', 'cup of coffee', 'Apples']"
52,2019-06-21 14:50:18,"RT @feesfusions: Fused Glass Pendant - Glass Jewelry - Red Glass - Black Glass - Fused Art Glass - Dichroic Glass - Measures 1.25"" x 1"" (ap",0,23,0.5,"['Fused Glass Pendant - Glass Jewelry - Red Glass - Black Glass - Fused Art Glass - Dichroic Glass - Measures', 'feesfusions', 'ap']"
53,2019-06-21 14:50:15,RT @EtsySocial: Murano Glass Colorful  https://t.co/1UURC0xXUz via @EtsySocial #EtsySocial https://t.co/xnnLHXcEOF,0,16,0.953055739402771,"['EtsySocial', 'Murano Glass Colorful', 'RT']"
54,2019-06-21 14:50:13,"Blue Green Enamel #Butterfly Bracelet, Czech Glass Stretch #jewelrylovers #MothersDay2019 Day #giftideas For Her https://t.co/LYYlBF21MR",0,0,0.5,"['Czech Glass Stretch', 'Butterfly Bracelet', 'jewelrylovers', 'MothersDay2019 Day', 'Blue Green Enamel', 'giftideas']"
55,2019-06-21 14:50:13,RT @EtsySocial: Murano Glass Colorful  https://t.co/1UURC0xXUz via @EtsySocial #EtsySocial https://t.co/xnnLHXcEOF,0,16,0.953055739402771,"['EtsySocial', 'Murano Glass Colorful', 'RT']"
56,2019-06-21 14:50:13,"RT @emilymkaplan: Heres the story of how Noelle Needham, a former rancher, Hayley Wickenheiser, a hockey legend, and the Toronto Maple Lea",0,26,0.5,"['hockey legend', 'Heres', 'story', 'rancher', 'Noelle Needham', 'Hayley Wickenheiser', 'Toronto Maple Lea', 'RT', 'emilymkaplan']"
57,2019-06-21 13:57:02,Hoping the rain were getting in Calgary is traveling south to those who need it. | Drought forces producers to sel https://t.co/HX2ROQSxNL,0,0,0.8176437616348267,"['Drought forces producers', 'sel', 'rain', 'Calgary']"
58,2019-06-21 10:28:37,"RT @soraazure: @hiroshimilano 9OK,NG\nhttps://t.co/KcpsC5Tp5A ",0,2,0.31900471448898315,"['hiroshimilano', 'soraazure', 'RT', 'NG']"
59,2019-06-21 04:06:32,"RT @soraazure: @hiroshimilano 9OK,NG\nhttps://t.co/KcpsC5Tp5A ",0,2,0.31900471448898315,"['hiroshimilano', 'soraazure', 'RT', 'NG']"
60,2019-06-20 22:33:00,"@hiroshimilano 9OK,NG\nhttps://t.co/KcpsC5Tp5A  https://t.co/x5tDd00QpI",2,2,0.7746003866195679,"['hiroshimilano', 'NG']"
61,2019-06-20 12:48:28,"https://t.co/fAPWeK0dLj ,272,172784 https://t.co/C63rhJ9UhI",0,0,0.8436731100082397,[]
62,2019-06-20 12:41:44, \n  https://t.co/6Td08ScQfG,0,0,0.2430199384689331,[]
63,2019-06-20 12:36:20,https://t.co/XldsvUAGPP-&gt; https://t.co/4Bl5vrPEgE,0,0,0.8243210315704346,[]
64,2019-06-20 09:07:09,RT @soraazure: @LindenMesicku @Day_Swing  ,0,1,0.5,"['LindenMesicku', 'soraazure', 'Day', 'RT', 'Swing']"
65,2019-06-19 22:38:42,@LindenMesicku @Day_Swing   https://t.co/AouZi0LgDl,1,1,0.7526739239692688,"['LindenMesicku', 'Day', 'Swing']"
66,2019-06-19 22:34:49,RT @Day_Swing: LOCAL SELF-GOVERNMENT\n\n\n\n\n\n,0,1,0.5,"['Day', 'Swing', 'LOCAL SELF-GOVERNMENT', 'RT']"
67,2019-06-19 22:34:37,RT @soraazure: @Day_Swing @Day_Swing2,0,1,0.5,"['Day', 'soraazure', 'Swing2', 'RT']"
68,2019-06-19 22:34:24,RT @Day_Swing: \n\n141\n\n,0,2,0.5,"['RT', 'Day', 'Swing']"
69,2019-06-19 22:30:59, #2370 https://t.co/S0C1FOKjxV,0,0,0.8436731100082397,[]
70,2019-06-19 22:22:20,12 https://t.co/YX1bI0n1VB  \n https://t.co/XyOnccqGPe,0,0,0.7796863317489624,[]
71,2019-06-19 15:12:07,. https://t.co/ClalphPiH5,0,0,0.8243210315704346,[]
72,2019-06-21 14:54:18,Cool down with our crab salad And grab a G.O. #coozie while youre here! \n.\n.\n.\n#crabsalad #chseats #charleston https://t.co/ymjCbUqzG7,0,0,0.945071816444397,"['crab salad', 'coozie', 'crabsalad', 'chseats', 'charleston', 'youre']"
73,2019-06-21 14:54:18,"RT @CharmedbyBonnie: Fun Turquoise Boho Earrings, Cluster, Dangle Drop, Glass Bead, Copper, Bohemian Boho Chic Jewelry, Gift For Her https:",0,2,0.5,"['Bohemian Boho Chic Jewelry', 'Fun Turquoise Boho Earrings', 'Copper', 'Cluster', 'Glass Bead', 'Dangle Drop', 'Gift', 'CharmedbyBonnie', 'RT', 'https']"
74,2019-06-21 14:54:17,RT @mrDarkLab: @realDonaldTrump Iran escaped their sea of glass because Trump has a huge heart! Great President! Loves Human Life!! Trump20,0,6,0.9669156074523926,"['realDonaldTrump Iran', 'sea of glass', 'huge heart', 'mrDarkLab', 'Great President', 'Human Life', 'Trump20']"
75,2019-06-21 14:54:14,",             \ni like it",0,0,0.8336384296417236,['ni']
76,2019-06-21 14:54:11,RT @Fact: Drinking a cold glass of water in the morning will wake you faster than a cup of coffee. Apples are also better.,0,120,0.8639239072799683,"['cold glass of water', 'Fact', 'morning', 'RT', 'cup of coffee', 'Apples']"
77,2019-06-21 14:54:11,@Cbp8Cindy @Julianna_glass @PoloOrtiz9 @Jay_Rombach @JustMyTweet @JustJaneOK @Adventuringgal @Adaliabrand8 @Oggs26 https://t.co/JcLVX3hjCH,0,0,0.7526739239692688,"['JustJaneOK', 'PoloOrtiz9', 'JustMyTweet', 'Jay', 'Rombach', 'Adventuringgal', 'glass', 'Adaliabrand8', 'Julianna', 'Oggs26']"
78,2019-06-21 14:54:05,@Claud_Mendoza @OwenJones84 Its about men. Not political parties. Glass houses?,0,0,0.7872625589370728,"['Mendoza', 'OwenJones84', 'Claud', 'political parties', 'Glass houses']"
79,2019-06-21 14:53:56,"@FaeDemeter Break. And the portal the fae wolf just stepped through obeyed, shattering like glass dropped on the https://t.co/gPYf7SO96V",0,0,0.5,"['fae wolf', 'portal', 'FaeDemeter Break', 'glass']"
80,2019-06-21 14:53:54,@ja2cook @DavidFoyn Happy Friday J.! Going to a local festival this weekend and get together with friends. How about you?,0,0,0.9661797285079956,"['weekend', 'ja2cook', 'DavidFoyn Happy', 'local festival', 'friends']"
81,2019-06-21 14:53:53,A glass of wine to end my internship.  https://t.co/mOUeXRUtXs,0,0,0.5,"['glass of wine', 'internship']"
82,2019-06-21 14:54:19,  Tommee Tippee Bottle Handles ...  199  #ShopeeTH ! https://t.co/jr8WyAELmU,0,0,0.5,"['Tommee Tippee Bottle Handles', 'ShopeeTH']"
83,2019-06-21 14:54:18,RT @laura_luna: Tbh I want a body posi thread of fat people in swimwear...Ill start. My 40th bday trip to JTree last year with a bottle,0,1234,0.10337913036346436,"['body posi thread of fat people', 'Tbh', 'swimwear', 'JTree', 'year', 'luna', 'Ill start', 'bday trip', 'laura', 'bottle']"
84,2019-06-21 14:54:17,@JasMoneyRecords Put it in a spritz bottle and keep itnin the fridge.  Def cooling and refreshing.  When youve used https://t.co/OBQSHykUxC,0,0,0.9146539568901062,"['bottle', 'itnin', 'fridge', 'Def cooling', 'JasMoneyRecords', 'youve']"
85,2019-06-21 14:54:13,Could go a cold bottle of buckfast,0,0,0.5,['cold bottle']
