,Time,Tweet,Favorites,Retweets
0,2019-06-10 15:06:58,"Father's Day is getting closer, so we recommend you check out these tips from @LessPlasticUK if you're looking for https://t.co/5eYTWetsha",0,0
1,2019-06-10 12:03:55,"BRAND NEW: @AddisHome BPA free 100% #Recycled 40 litre #bin sustainably sourced and made in the UK, perfect for https://t.co/DeNZf6rQBJ",1,0
2,2019-06-10 11:52:07,"Weve teamed up with @ElephantboxUk  for this reusables giveaway, two stainless steel boxes + with @wasserneutral b https://t.co/zIMGbp8Pfc",3,0
3,2019-06-10 11:35:01,What do you think of our new Emerald Bay colour?\nThe Tumblers are available NOW and the TKWides will be available s https://t.co/KcDlPl9RvY,4,0
4,2019-06-10 08:02:43,"RT @KleanKanteenUK: Don't forget to check out War on Plastic with @HughFW and @itsanitarani, tonight at 9pm on BBC1 \nhttps://t.co/fCsSAP1X",0,1
5,2019-06-10 07:52:40,"Don't forget to check out War on Plastic with @HughFW and @itsanitarani, tonight at 9pm on BBC1  https://t.co/R0kRm7CYxZ",2,1
6,2019-06-10 05:49:38,RT @SethiRuchikaT: Well said @savneet82312649\nServing in #reusables is real  #Seva to all elements of Nature and Humanity.. striking a beau,0,2
7,2019-06-10 04:09:14,Well said @savneet82312649\nServing in #reusables is real  #Seva to all elements of Nature and Humanity.. striking a https://t.co/W0792rZ2Ay,4,2
8,2019-06-09 21:14:47,RT @OceanEdBooks: Do at least ONE thing every day to reduce #plasticpollution - begin with boycotting plastic straws. Use Reusable straws o,0,5
9,2019-06-09 02:30:09,"Hoy fui la ms feliz en el sper, con mis nuevas bolsitas #reusables para fruta/verdura. \n\nNunca es tarde pa https://t.co/rnAEruqbY6",3,0
10,2019-06-08 19:29:23,RT @OceanEdBooks: Do at least ONE thing every day to reduce #plasticpollution - begin with boycotting plastic straws. Use Reusable straws o,0,5
11,2019-06-08 18:24:13,RT @aplastic_planet: Markets Awkward #Plastic Bags Ensure #Shoppers Will Bring #Reusables The Next Time \n\n@Nabma_Markets @M4Markets \n\nhttp,0,2
12,2019-06-08 18:23:35,Markets Awkward #Plastic Bags Ensure #Shoppers Will Bring #Reusables The Next Time \n\n@Nabma_Markets @M4Markets \n\nhttps://t.co/ZHmabnbi6L,8,2
13,2019-06-08 10:57:02,"You can join our email community - never miss out on our content by joining the community. Plus, when you sign up, https://t.co/v0XTwlAbvK",0,0
14,2019-06-08 09:13:43,RT @WEN_UK: We love these stickers &amp; posters from @wukawear - you can download them for free. Perfect #ToiletHack reminder to switch to re,0,4
