,Time,Tweet,Favorites,Retweets
0,2019-06-10 14:47:47,Detallitos que hinchan el - Gracias @francelacs por el detallazo! #CoffeeLover #Reuse https://t.co/DReHdXMmWs,2,0
1,2019-06-10 14:42:12,Custom bird feeder holders. These are hand formed from steel bars scraps of sheet metal! Making something from noth https://t.co/paIaAd1tsg,0,0
2,2019-06-10 14:40:46,RT @EcoPantryUK:  Exciting news! \n\nWe are opening a #Refill store!\n\nSee photo for information \n\n#zerowaste #ecofriendly #reuse #passonpl,0,14
3,2019-06-10 14:39:08,@energy_lumen They first need to get a handle of their #wateruse and #inefficiencies in their system. Then next lev https://t.co/5wEtW9toBN,0,0
4,2019-06-10 14:38:23,When standard deflector makeweights are of a larger diameter than you need you resort to #homemade solutions with https://t.co/N2d46yrJlO,0,0
5,2019-06-10 14:33:19,RT @EcoBarter: Early #monday collection!\nStart your week in an eco-friendly manner #reduce #reuse #recycle your waste https://t.co/1n9s8PPR,0,1
6,2019-06-10 14:30:51,"#ewaste, #plasticwaste, #waste, what can design do to #reuse, #recycle and #repurpose materials? Join a mini-jam on https://t.co/gmpcj8zMnA",0,0
7,2019-06-10 14:30:32,Lifeguard tower built from plastic waste offers glimpse of future https://t.co/XQMiv69VO3\n#US #CA #California https://t.co/H1ThLSd31m,0,0
8,2019-06-10 14:30:27,"We believe in a ""greener"" future.\nWe have many initiatives for our members as part of our #environmental #strategy https://t.co/X1NgxfDZkG",1,0
9,2019-06-10 14:25:29,RT @GlobalOwls: BTW It's not ok ;) A little #sarcasm here. \n#plasticfree #zerowaste #ecofriendly #noplastic #reuse #sustainable #recycle #s,0,7
10,2019-06-10 14:24:55,This is Plastic Service Announcement End the use of environmentally damaging plastic water bottles! #plasticfree https://t.co/WvNQ9Fn3Iu,0,0
11,2019-06-10 14:23:27,RT @MartinaBarbero1: Excited to be in #Bucharest for the #SRCONF19! Looking forward to listening to how #OpenSource solutions and the #reus,0,2
12,2019-06-10 14:22:22,Do you #recycle your #plastic?  Have you done anything to cut down on your use of it?  Let us know what you're doin https://t.co/lDjI2270Or,0,0
13,2019-06-10 14:22:01,"This is great...\n\nIn an attempt to discourage people from using single-use plastics, these plastic bags are printed https://t.co/sUCQ2JY13G",1,0
14,2019-06-10 14:19:13,RT @MartinaBarbero1: Excited to be in #Bucharest for the #SRCONF19! Looking forward to listening to how #OpenSource solutions and the #reus,0,2
15,2019-06-10 14:19:11,Such simple #plasticfree #reuse solutions at @RAWBottles and @ecoffee_cup https://t.co/JNB4gflZ1N,0,0
16,2019-06-10 14:14:24,Amanda Kaminsky founded BuildingProduct Ecosystems LLC to create a #CircularEconomy model for building materials. https://t.co/7C6c95ElNK,0,0
17,2019-06-10 14:13:10,"87% of plastics in Canada are not recycled, they are sent to a landfill. It needs to be more than just individual e https://t.co/z5crJZdH4M",0,0
18,2019-06-10 14:07:48,RT @etechnicalspprt: https://t.co/hOMebNXPU6\n #handmade #handmadebyme #diy #creativity #party #event #birthday #roomdocor #diycrafts #wed,0,2
19,2019-06-10 14:06:07,Excited to be in #Bucharest for the #SRCONF19! Looking forward to listening to how #OpenSource solutions and the https://t.co/C2RD5vqRz3,4,2
20,2019-06-10 14:00:02,RT @FairLawnEC: Bergen County Styrofoam collection drive in Leonia tomorrow 6/8 and in Oradell next week 6/15. This is open to Fair Lawn re,0,1
21,2019-06-10 13:59:51,RT @OwnYourSolar: If you forget your reusable bag going to @greenstreetmkt @OwnYourSolar has your back! #banthebag #banplastic #banplasticb,0,1
22,2019-06-10 13:58:21,"RT @deetheherbalist: Fantastic! Make sure you support our #Edinburgh zero waste shops, including @RefilleryThe in Newington, @LarderEco on",0,3
23,2019-06-10 13:53:03,How A Company In Berlin Is Turning Coffee Grounds Into Reusable Cups https://t.co/Rkrk2yrkt3 via @YouTube #berlin https://t.co/2lTZvXovJF,0,0
24,2019-06-10 13:52:14,It is #BikeWeekUK !  Why not pick up a second hand bike at our Re-use shop at Foxhall! Great for those growing chil https://t.co/baprYi3LMZ,0,0
25,2019-06-10 13:50:55,"As more and more businesses sign up to secure long-term economic growth in a low-carbon world, we are seeing 5 area https://t.co/1ROVsokEWK",0,0
26,2019-06-10 13:47:29,RT @GreeneryCL:  \n   ,0,36
27,2019-06-10 13:44:22,#Art is absolutely part of #ecology #resilence #savethebees If you aren't in a position to make or install bee hot https://t.co/7z5VrwIeTe,0,0
28,2019-06-10 13:42:10,RT @BooksByJJHughes: Our oceans are becoming a cesspool \nOur oceans are the foundation of our life on Earth\nWe cannot allow this to continu,0,9
29,2019-06-10 13:30:30,Dont be a reason behind the perishing health of Mother Nature.\n#SintexDustbin #recycle #rubbish #sustainability https://t.co/ZHAnRAKN6I,0,0
30,2019-06-10 13:30:01,"We are proud to lead the way in the #packaging waste sector, according to the governments legislation of #reuse ov https://t.co/TErWJxNJXL",0,0
31,2019-06-10 13:28:03,Early #monday collection!\nStart your week in an eco-friendly manner #reduce #reuse #recycle your waste https://t.co/1n9s8PPRaY,1,1
32,2019-06-10 13:28:00,Quem j fez o seu ? Assiste no youtube do Semente maker. #helicoptero #caixadefosforos #palitodepicole https://t.co/gpCiBsOnbm,0,0
33,2019-06-10 13:27:42,"RT @MitieWaste: We believe in the #CircularEconomy, an alternative to the traditional take, make and dispose of method. WasteMatch, powered",0,6
34,2019-06-10 13:24:59,Sharing and Reuse Conference on 11 June 2019 - live streaming from Bucharest if you cannot attend. \n#reuse https://t.co/c0Ce6S5ryb,0,0
35,2019-06-10 13:15:20,RT @PremierSustain: An invitation for Circular London Week - come and see all the exciting stuff we get up to in The Renew Centre #reuse #r,0,1
36,2019-06-10 13:13:13,RT @PremierSustain: An invitation for Circular London Week - come and see all the exciting stuff we get up to in The Renew Centre #reuse #r,0,1
37,2019-06-10 13:11:11,#BYO #BYOC #reduce #reuse #recycle #plastic #saveTheWorld #pharmacy #drugstore # # #herb #chineseMedicine #medicine #medical #,0,0
38,2019-06-10 13:06:09,"They come in all shapes and sizes to fit all types of different decors, for example a restaurant, schools, hospital https://t.co/6RlzJmpczR",0,1
39,2019-06-10 12:55:46,#REPOST from @faithdodkins \nThank you for choosing local! \n\n\n#brightonblogger #plasticfree #plasticfreeliving https://t.co/Ug9eRyDJFh,0,0
40,2019-06-10 12:45:29,"Finished burning a candle, cleaned out the jar and it now the perfect container for my reusable cotton pads! #reuse https://t.co/ogbeENwn2x",0,0
41,2019-06-10 12:44:19,We refill every cartridge we can for resale in order to make cartridges multi use and your printing more sustainabl https://t.co/LRzwHLJ1aS,0,0
42,2019-06-10 12:43:19,#Bali is our production soul and #Kalimantan wood our heart . \n.\n.\n.\n#kaltimber #reclaimedwood #ulin #ironwood https://t.co/QCI4QSI28x,0,0
43,2019-06-10 12:40:19,RT @raque_rocky: There's so many ways of reducing our plastic consumption.\nWhat new habit are you going to adopt to take care of our home?,0,7
44,2019-06-10 12:39:39,Digging around the garden for scraps of wood to make planters out of. #woodwork #wellbeing #reuse #recycle https://t.co/izqpOhUThm,0,0
