,Time,Tweet,Favorites,Retweets
0,2019-06-10 09:00:06,Create your own natural fragrance!  Smell great and feel great using only natural oils. Try this luscious lavende https://t.co/LredR8DBte,0,0
1,2019-06-09 22:00:42,Grab yours today at Coles https://t.co/0IwAgODir9\n\n#Jordanaustralia #Jordantoothbrush #JordanSoMe https://t.co/LymPvuEV2I,1,0
2,2019-06-09 19:08:12,Add these vegan heels  to your shoe collection. Made from microsuede and faux vegan leather  Only at https://t.co/FXYibUaxMt,0,0
3,2019-06-09 11:58:50,"RT @BJPSanjayJoshi:               ,    #WorldEnvironmentDay #environm",0,35
4,2019-06-09 10:31:18,"https://t.co/Ya7i0H4LwN - On #menthealth, #sustainablelifestyle, and #socialmedia.\n\nThanks for the recommendation https://t.co/SveWYYAtMz",2,0
5,2019-06-09 06:42:31,' Put Your Landscape Maintenance in the Hands of Someone Who Really Cares'.\n#ItalianPlanters #Qatar https://t.co/VFHfqmoNSi,0,0
6,2019-06-08 23:55:05,How perfect is this vintage inspired planter??  I was feeling inspired to make use of older items we have around t https://t.co/TnQcSMcXsE,1,0
7,2019-06-08 13:36:01,"#sustainableliving is slow process, but with efforts in right direction will definitely give fruits. https://t.co/wEwb7l5mYc",0,0
8,2019-06-08 06:33:42,Office plants - Create a space that looks and feels amazing.\n#ItalianPlanters #Qatar #Indoor_Outdoor_Plants https://t.co/HaUDRCylMX,0,0
9,2019-06-08 02:19:01,"RT @BJPSanjayJoshi:               ,    #WorldEnvironmentDay #environm",0,35
10,2019-06-08 02:00:03,Life's challenges are easier when you're fit enough to kick their a###!\n\n#healthcoach #coach #lifestyle #fitness https://t.co/UwRPy6otjA,2,0
11,2019-06-07 22:23:05,RT @Gina_Caro: 18 Sustainable Lifestyle Changes That Dont Cost Money: https://t.co/278dXDfnrn #ecoliving #ecoblogger #sustainablelifestyle,0,16
12,2019-06-07 22:05:14,RT @Gina_Caro: 18 Sustainable Lifestyle Changes That Dont Cost Money: https://t.co/278dXDfnrn #ecoliving #ecoblogger #sustainablelifestyle,0,16
13,2019-06-07 19:52:49,RT @Gina_Caro: 18 Sustainable Lifestyle Changes That Dont Cost Money: https://t.co/278dXDfnrn #ecoliving #ecoblogger #sustainablelifestyle,0,16
14,2019-06-07 13:49:15,"The beach everyday, Introducing our sandy new wallpaper, UK seaside iconic buildings as sandcastles with a polka do https://t.co/2wWntKVvGH",2,0
15,2019-06-07 06:43:05, #SustainableLifestyle Is Global #Rebellion\n #BeTheChange\n\nhttps://t.co/vICAtNRIPN,0,0
16,2019-06-07 06:35:38,"I love a society where by the ""meeting of the needs if the present generation, will not affect the ability of the f https://t.co/4MqlxqWx6f",4,0
17,2019-06-07 05:49:46,#mtb #mtblife 4 #life #sustainablelifestyle #healthylifestyle #itsnotahobbieitsalifestyle #bicycle #cycling https://t.co/mTvEAtbfCu,0,0
18,2019-06-06 20:17:30,"Some great bargains listed tonight, why pay retail when you can buy Preloved #pearlsandscarlett #ethicalfashion https://t.co/2vbzD2UHlL",0,0
19,2019-06-06 20:10:45,RT @ArakiCrafts: Small Beard Comb https://t.co/8D8A5ZCidP via @Etsy Gift for Dad\n#ecoliving #gogreen #plasticfreeliving #motherearth #waste,0,2
20,2019-06-06 20:05:42,RT @ArakiCrafts: Luxury wooden comb https://t.co/Phl4jIYRfB via @Etsy #ecoliving #gogreen #plasticfreeliving #motherearth #wastefree #ecoli,0,3
21,2019-06-06 08:27:55,Heres what I learnt today. Running helps to expel toxin more effectively even though I cover the same distance as https://t.co/NS952PmUiw,0,0
22,2019-06-06 05:47:01,"RT @BJPSanjayJoshi:               ,    #WorldEnvironmentDay #environm",0,35
23,2019-06-06 05:10:58,"RT @almitrasustain1: This #WorldEnvironmentDay, we at #AlmitraSustainables are excited to #gift-wrap a #PocketBooklet for the little ones.",0,1
24,2019-06-06 04:53:55,"RT @BJPSanjayJoshi:               ,    #WorldEnvironmentDay #environm",0,35
25,2019-06-06 04:25:08,"Hello #summer.\nI greet thee with open arms. The pouring sweat from your blazing heat &amp; all your warm goodness,  I w https://t.co/WxYaLN7I0X",1,0
26,2019-06-06 03:04:23,"RT @BJPSanjayJoshi:               ,    #WorldEnvironmentDay #environm",0,35
27,2019-06-06 03:02:07,"RT @BJPSanjayJoshi:               ,    #WorldEnvironmentDay #environm",0,35
28,2019-06-06 01:54:10,"RT @BJPSanjayJoshi:               ,    #WorldEnvironmentDay #environm",0,35
29,2019-06-05 19:43:04,I  #Mexico #SustainableLifestyle #ProtectTheEnvironment https://t.co/VBrLqmDgfs,0,0
30,2019-06-05 16:18:50,"RT @BJPSanjayJoshi:               ,    #WorldEnvironmentDay #environm",0,35
31,2019-06-05 15:25:49,"RT @BJPSanjayJoshi:               ,    #WorldEnvironmentDay #environm",0,35
32,2019-06-05 14:33:10,"RT @BJPSanjayJoshi:               ,    #WorldEnvironmentDay #environm",0,35
33,2019-06-05 14:26:13,"RT @BJPSanjayJoshi:               ,    #WorldEnvironmentDay #environm",0,35
34,2019-06-05 13:20:02,Everyday write down 3 things that you are grateful for. #vidhyamalvade https://t.co/stMadakxsH #power #yoga https://t.co/bI2XqcY8hb,1,0
35,2019-06-05 13:17:37,"waste reduction initiatives, sustainable lifestyle awareness campaigns &amp; green-focused renovation projects. https://t.co/gb1s8qFLw5",2,0
36,2019-06-05 13:11:37,"This #WorldEnvironmentDay, we at #AlmitraSustainables are excited to #gift-wrap a #PocketBooklet for the little one https://t.co/j39liHrPQf",1,1
37,2019-06-05 11:44:21,"RT @BJPSanjayJoshi:               ,    #WorldEnvironmentDay #environm",0,35
38,2019-06-05 11:38:54,"RT @BJPSanjayJoshi:               ,    #WorldEnvironmentDay #environm",0,35
39,2019-06-05 11:24:02,@Loving40rty_ES @a_mumma_mind @FetchemC @InsideOutSurrey I know it really does feel like we need to go back to basi https://t.co/vdBrMysFeh,1,0
40,2019-06-05 11:20:42,"RT @BJPSanjayJoshi:               ,    #WorldEnvironmentDay #environm",0,35
41,2019-06-05 11:03:35,"              ,    #WorldEnvironmentDay https://t.co/eKtjP9fFZ1",0,0
42,2019-06-05 10:29:51,Lets make a shift from a single bottom line to a #triplebottomline towards a #sustainablelifestyle that embraces https://t.co/AMIAdwDF8R,0,0
43,2019-06-05 10:15:22,"RT @BJPSanjayJoshi:               ,    #WorldEnvironmentDay #environm",0,35
44,2019-06-05 10:09:02,"RT @BJPSanjayJoshi:               ,    #WorldEnvironmentDay #environm",0,35
45,2019-06-05 09:10:47,"RT @BJPSanjayJoshi:               ,    #WorldEnvironmentDay #environm",0,35
46,2019-06-05 08:36:50,"RT @BJPSanjayJoshi:               ,    #WorldEnvironmentDay #environm",0,35
47,2019-06-05 07:45:41,"RT @BJPSanjayJoshi:               ,    #WorldEnvironmentDay #environm",0,35
48,2019-06-05 07:19:50,"RT @BJPSanjayJoshi:               ,    #WorldEnvironmentDay #environm",0,35
49,2019-06-05 06:46:19,RT @jkmayfair: These #ZeroEmissions bikes need riders. Our fleet is expanding. If you or anyone you know may be interested in joining our t,0,2
50,2019-06-05 06:28:02,"RT @BJPSanjayJoshi:               ,    #WorldEnvironmentDay #environm",0,35
51,2019-06-05 06:27:26,"RT @BJPSanjayJoshi:               ,    #WorldEnvironmentDay #environm",0,35
52,2019-06-05 06:13:30,"RT @BJPSanjayJoshi:               ,    #WorldEnvironmentDay #environm",0,35
53,2019-06-05 06:09:01,"RT @BJPSanjayJoshi:               ,    #WorldEnvironmentDay #environm",0,35
54,2019-06-05 06:05:38,"RT @BJPSanjayJoshi:               ,    #WorldEnvironmentDay #environm",0,35
55,2019-06-05 05:47:59,"RT @BJPSanjayJoshi:               ,    #WorldEnvironmentDay #environm",0,35
56,2019-06-05 05:46:22,"RT @BJPSanjayJoshi:               ,    #WorldEnvironmentDay #environm",0,35
57,2019-06-05 05:41:57,"RT @BJPSanjayJoshi:               ,    #WorldEnvironmentDay #environm",0,35
58,2019-06-05 05:40:26,"              ,    #WorldEnvironmentDay https://t.co/Gz717XagCd",207,35
59,2019-06-05 05:34:08,[035] #BLEEDREDTHINKGREEN  THE WORLDS FIRST REUSABLE TAMPON APPLICATOR https://t.co/5mhBrjRqhQ via https://t.co/dbv580fvo7,0,0
60,2019-06-05 04:09:50,"RT @iCharity_in: Nature is our treasure, help save it. #nature #DoYourBit #environmentday #worldenvironmentday #curbairpollution #airpoll",0,1
61,2019-06-05 04:09:03,"Nature is our treasure, help save it. #nature #DoYourBit #environmentday #worldenvironmentday #curbairpollution https://t.co/PyqLNDUaKF",4,1
62,2019-06-04 21:00:08,"Need a natural jolt  to get you back up again ? I know I do right now ! Try this motivation diffuser blend, https://t.co/jSVw0Gxrvk",0,0
63,2019-06-04 13:28:02,Upasana's movement for usage of organic cotton in a sustainable fashion.https://t.co/TXVVwawPj3 #livelohas https://t.co/jYFA26SqIH,3,0
64,2019-06-04 12:50:18,RT @lifestylefood24: Raw vegan recipe inspired by traditional #Japanesecuisine. https://t.co/fK1ISEbtTX #livelohas #rawveganrecipe #rawfood,0,1
65,2019-06-04 09:51:57,"All the orders placed in this week comes with a small gift \n\nIf you see this gift in your order parcel, tag us to https://t.co/3cMaOKV50b",0,0
66,2019-06-04 07:35:01,Raw vegan recipe inspired by traditional #Japanesecuisine. https://t.co/fK1ISEbtTX #livelohas #rawveganrecipe https://t.co/wkmhunBItr,2,1
67,2019-06-04 03:44:44,#tomato #plants are getting ready to ripen #bakersfieldcalifornia #healthylifestyle #sustainablelifestyle #zag1 https://t.co/b4cuVxHAHf,0,0
68,2019-06-04 02:00:12,What do you prefer to as a protein boost? A Protein Shake or Bar? Share what works for you (leave a comment below). https://t.co/5KFJTRR6Jc,4,0
69,2019-06-04 01:45:06, \n\n#Repost kushiplanet\n     \nThe threat is real\n#BanTheBag #BreakFreeFromPlastic https://t.co/IQXHEoTDi4,0,0
70,2019-06-03 22:35:03,Bringing the power of plastic recycling to the people https://t.co/AqYmupIfE5 #plastic #plasticpollution https://t.co/mIvoRGaPHN,2,0
71,2019-06-03 22:01:28,"@steviedubyu @KevinClimate @MichaelEMann @penn_state @USATODAY It's easier to educate, bring more people along when https://t.co/mq23j2fZ88",0,0
72,2019-06-03 22:00:07,We want to show you some appreciation with a little gift for joining our community. Sign up for our email list and https://t.co/JXyIFzPjSz,0,0
73,2019-06-03 21:00:14,\n#healthcoach #coach #lifestyle #fitness #sustainablelifestyle #grownwellness #levelup #lozantonenko #courage https://t.co/GEyhMhkslT,1,0
74,2019-06-03 15:38:21,"RT @ethiqana: Does a #sustainablelifestyle involve sacrifices? We don't think so, we might have even convinced a few people of the same Wh",0,1
75,2019-06-03 14:46:26,RT @yogaclicks: Is it just us? Tag a friend to make them smile \n\n.\n.\n.\n.\n.\n\n#fridayfunny #fridayfun #yogafunny #yogahumour #yogajoke #thear,0,1
76,2019-06-03 13:31:02,I find my daily inspiration in the mirror and in the way I feel every morning. #tanishaamukherji : https://t.co/9k4eVSnk1U,2,0
77,2019-06-03 12:55:07,"Does a #sustainablelifestyle involve sacrifices? We don't think so, we might have even convinced a few people of th https://t.co/5U3YTa5RML",1,1
78,2019-06-03 11:45:45,"RT @EconmiaCreativa: Happy World Bicycle Day! The best machine ever created  :) Are you part of the #cyclingculture?\nGo out for a ride, it",0,1
79,2019-06-03 11:34:36,"Happy World Bicycle Day! The best machine ever created  :) Are you part of the #cyclingculture?\nGo out for a ride, https://t.co/DjJFBTn8ld",2,1
80,2019-06-03 09:43:40,     \n   #sustainablelifestyle  https://t.co/PwPK2Gpvzo,1,0
81,2019-06-03 09:00:15,\n#healthcoach #coach #lifestyle #fitness #sustainablelifestyle #grownwellness #levelup #lozantonenko #courage https://t.co/nAB87vmcgw,1,0
82,2019-06-03 08:11:34,"If you plant a tree, you plant a life. #savetrees #environmentday #worldenvironmentday #climatechange https://t.co/KwsFowR58h",3,0
83,2019-06-03 08:05:07,How did you get in to work today? \n\n#SustainableLifeStyle #EnvironmentallyFriendly  \nhttps://t.co/LBdiWvHtNO,1,0
84,2019-06-03 06:27:04,Shade-loving indoor plants\n#ItalianPlanters #Qatar #Indoor_Outdoor_Plants #LandscapeMaintenance #PlantingSeeds https://t.co/xxHuUmLMwd,0,0
85,2019-06-03 06:14:44,"RT @LessLab1:  #Free #Bikes\nIf #benefits of #cycling  both #economic and #environment|al   outweigh cost of bikes overall, then why not",0,1
86,2019-06-03 02:05:28,#minglake #kerncounty #ibikekern #zag1 #healthylifestyle #sustainablelifestyle #bakersfieldcalifornia https://t.co/Mza8oz6B6b,0,0
87,2019-06-02 21:47:02,Get summer  ready with these amazing vegan sandals  Only at https://t.co/47YoUN1baF\n#veenofs #vegancommunity https://t.co/1hz7Iz39G0,0,0
88,2019-06-02 09:00:07,\n#healthcoach #coach #lifestyle #fitness #sustainablelifestyle #grownwellness #levelup #lozantonenko #courage https://t.co/yyKAEUV7Pc,0,0
89,2019-06-02 07:48:24,For All Your Indoor and Outdoor Plants! #ItalianPlanters #Qatar #Indoor_Outdoor_Plants #LandscapeMaintenance https://t.co/jktJWqy5Hm,0,0
90,2019-06-02 06:08:29,"RT @almitrasustain1: We are #TurningOne! this #WorldEnvironmentDay &amp; to celebrate, we are giving away a 20% #Discount on all our #sustainab",0,1
91,2019-06-02 06:03:10,"We are #TurningOne! this #WorldEnvironmentDay &amp; to celebrate, we are giving away a 20% #Discount on all our https://t.co/ZaIEQn1fq6",1,1
92,2019-06-02 02:16:30,Saturday-\n.\n.\n.\n.\n.\n.\n.\n#zag1 \n#bicycle \n#cycling\n#healthylifestyle \n#sustainablelifestyle \n#bakersfieldcalifornia https://t.co/o7RULw6p1f,1,0
93,2019-06-01 23:21:30,"Let your hair down, its the weekend-\n.\n.\n.\n.\n.\n.\n.\n.\n#zag1 \n#cycling \n#bicycle \n#ibikekern \n#healthylifestyle https://t.co/2zur0NkgGJ",0,0
94,2019-06-01 17:11:46,"LIBERTY of London vintage womens jacket, summer, size S, cotton...... #liberty #libertytextiles #cotton #jacket https://t.co/LzuhIA8St4",0,0
95,2019-06-01 16:04:02,"@teespring Happiness is the spiritual experience of living every minute with love, grace, and gratitude. https://t.co/Qloi90Oy44",0,0
96,2019-06-01 14:29:21,RT @lifestylefood24: Impactable fashion as an outgrowth of sustainable fashion.\nhttps://t.co/V8nrYcTDoH\n#powerfulwomen #empowered #influen,0,2
97,2019-06-01 13:31:32,RT @lifestylefood24: Impactable fashion as an outgrowth of sustainable fashion.\nhttps://t.co/V8nrYcTDoH\n#powerfulwomen #empowered #influen,0,2
98,2019-06-01 13:26:02,Impactable fashion as an outgrowth of sustainable fashion.\nhttps://t.co/V8nrYcTDoH\n#powerfulwomen #empowered https://t.co/cS2cXC3fmr,0,2
99,2019-06-01 13:14:55,RT @Shivani61786355: This #EnvironmentDay follow #sustainablelifestyle for our Mother Earth and better future:\n1. Plant trees as much as po,0,1
