,Time,Tweet,Favorites,Retweets
0,2019-06-10 15:09:35,#Tournage Du Maf  la Fourchette 2 avec dans le #rle de la #figurante 1er plan la #cration #Upcycling https://t.co/QlaYiKtQHj,0,0
1,2019-06-10 15:08:53,RT @SpillTheTwee: Home decor with pride! For customised vintage plates visit: https://t.co/PLpHb8bkpF #pride #butch #femme #fancy #tacky #h,0,1
2,2019-06-10 15:08:45,#Tournage Du Maf  la Fourchette 2 avec dans le #rle de la #figurante 1er plan la #cration #Upcycling https://t.co/XFsIeyYsZT,0,0
3,2019-06-10 15:06:06,Creating fashion for the future #upcycling @WovenInKirklees @HighBankSchool https://t.co/k3j3hYkLym,0,0
4,2019-06-10 15:04:57,#Agroforstwirtschaft #Bildung  #Bioladen #Commons #Coworking #C2C #Degrowth #FabLab  #Gemeinschaftsgarten #GW https://t.co/C7Z4OCIh45,0,0
5,2019-06-10 14:47:12,RT @SLodni: https://t.co/1MULyEyLhj\nJeanstasche Kstchen #upcycling #bags #Handmade se kleine Glasflasche als Kettenanhnger zum Befllen,0,46
6,2019-06-10 14:46:57,RT @SLodni: https://t.co/1MULyEyLhj\nJeanstasche Kstchen #upcycling #bags #Handmade se kleine Glasflasche als Kettenanhnger zum Befllen,0,46
7,2019-06-10 14:46:23,"RT @SolidGreen_SA: Made from recycled PET, the flat bottle has a plastic cap, making recycling easier. It takes up 40% less space and is 87",0,1
8,2019-06-10 14:45:14,"Briefumschlge findet, dann nehmt die gerne mit und wir zaubern etwas Schnes daraus. #upcycling\nUm an diesem Works https://t.co/2ueSL9BOvY",0,0
9,2019-06-10 14:17:47,RT @FestivalStoke: Keep an eye out for the #greeningstoke bean can garden in an alley way in Fenton! Created with @Lettingintlight Anne &amp; R,0,2
10,2019-06-10 14:01:31,#docholidaycafebar #zodiacsigns #fishes #cancer #scorpio #upcycling #bike #parts #exhibition #visit #goudi #garden https://t.co/LhpKECp1CD,0,0
11,2019-06-10 13:48:08,"2nd #logsculpture finally painted and finished,this will be showcased @awestruck_academy alongside our other produc https://t.co/IotzkoiwYJ",0,0
12,2019-06-10 13:42:12,Lena Waithe And Mercedes Benz Launch Sustainable Initiative - ESSENCE #upcycling #sustainability #fashion https://t.co/iqNAhUvBjI,0,0
13,2019-06-10 13:38:18,RT @swclng: Do you know a single #recycled bottle saves enough energy to run a 100 watt bulb for 4 hours. It also creates 20% less air poll,0,4
14,2019-06-10 13:35:21,"Our #FREE #ManMade #upcycling sessions are perfect if u hate #waste, are interested to learn something new or have https://t.co/0CTvlqpUvB",0,0
15,2019-06-10 13:30:11,RT @FestivalStoke: Keep an eye out for the #greeningstoke bean can garden in an alley way in Fenton! Created with @Lettingintlight Anne &amp; R,0,2
16,2019-06-10 13:28:00,Quem j fez o seu ? Assiste no youtube do Semente maker. #helicoptero #caixadefosforos #palitodepicole https://t.co/gpCiBsOnbm,0,0
17,2019-06-10 13:00:23,All of our products come tagless so that you can easily rebrand!\n\nhttps://t.co/Qf6XCzIvB0\n\n#myAWDis https://t.co/iBYZSg745Y,1,0
18,2019-06-10 12:55:03,"Made from recycled PET, the flat bottle has a plastic cap, making recycling easier. It takes up 40% less space and https://t.co/qrxfSnKNH7",2,1
19,2019-06-10 12:53:32,Keep an eye out for the #greeningstoke bean can garden in an alley way in Fenton! Created with @Lettingintlight Ann https://t.co/ZAle9tJUAe,2,2
20,2019-06-10 12:26:52,READ this weeks #BLOG post:  #Upcycling and #beauty: all hail the #byproduct beauty ingredient movement  on Global https://t.co/TN2c6TECP3,0,0
21,2019-06-10 12:25:13,"RT @TheHouseofUp: When a #SwedishModel is this fabulous, its worth your attention ... thanks to The House of #Upcyclings newest #Affiliat",0,2
