,Time,Tweet,Favorites,Retweets
0,2019-06-10 14:50:03,Packing #zerowaste #lunches is easier than you think! @ZeroWasteChef has 10 #tips to packing #wastefree lunches  https://t.co/2DQW0S2GWb,0,0
1,2019-06-10 14:30:16,RT @caroletwitt_: This shop functions without any plastic packaginga first in #London\n\n#zerowaste #zerodechet\n#wastefree #zeropackaging\n\nC,0,4
2,2019-06-10 14:25:20,RT @GlobalOwls: Don't forget. You already have an impact. Be conscious about how you're consuming. \n#savetheearth #organic #plasticfreeocea,0,11
3,2019-06-10 13:36:16,Ive been looking into trying to live with less waste. Any friends I have that do this have tips? #wastefree,0,0
4,2019-06-10 13:35:08,RT @caroletwitt_: This shop functions without any plastic packaginga first in #London\n\n#zerowaste #zerodechet\n#wastefree #zeropackaging\n\nC,0,4
5,2019-06-10 12:44:46,RT @pinthecreep: Garima Poonia gave up her master's seat in Sussex University to move to Neil Island in the #Andamans to clean up the 7km i,0,3
6,2019-06-10 12:32:35,RT @GlobalOwls: Don't forget. You already have an impact. Be conscious about how you're consuming. \n#savetheearth #organic #plasticfreeocea,0,11
7,2019-06-10 11:50:24,RT @caroletwitt_: This shop functions without any plastic packaginga first in #London\n\n#zerowaste #zerodechet\n#wastefree #zeropackaging\n\nC,0,4
8,2019-06-10 11:40:09,It is thanks to the devoted #partners that our common dream of #wastefree Plovdiv is coming true! We are thrilled t https://t.co/DB31BJhweU,0,0
9,2019-06-10 11:39:10,"What can I use my two week old veggies, mmmmm got to be something that doesnt involve you looking at them as there https://t.co/fsAIC3E34n",0,0
10,2019-06-10 11:31:59,RT @GlobalOwls: Don't forget. You already have an impact. Be conscious about how you're consuming. \n#savetheearth #organic #plasticfreeocea,0,11
11,2019-06-10 11:07:10,RT @caroletwitt_: This shop functions without any plastic packaginga first in #London\n\n#zerowaste #zerodechet\n#wastefree #zeropackaging\n\nC,0,4
12,2019-06-10 10:54:59,This shop functions without any plastic packaginga first in #London\n\n#zerowaste #zerodechet\n#wastefree https://t.co/6kukBy1xKM,4,4
13,2019-06-10 10:54:10,RT @SAPlastic2018: We love this kind of action #WasteFree #BeTheChange #Inspire \n\nGatwick hosts UK's first airport reusable coffee cup tria,0,14
14,2019-06-10 10:30:16,RT @SAPlastic2018: We love this kind of action #WasteFree #BeTheChange #Inspire \n\nGatwick hosts UK's first airport reusable coffee cup tria,0,14
15,2019-06-10 09:38:33,RT @SAPlastic2018: We love this kind of action #WasteFree #BeTheChange #Inspire \n\nGatwick hosts UK's first airport reusable coffee cup tria,0,14
16,2019-06-10 09:16:51,RT @recycle4gm: It's #FathersDay Day on Sunday! Have you thought about getting a #wastefree #gift? We have lots of ideas from our guest blo,0,1
17,2019-06-10 09:15:37,RT @pinthecreep: Garima Poonia gave up her master's seat in Sussex University to move to Neil Island in the #Andamans to clean up the 7km i,0,3
18,2019-06-10 09:12:46,Garima Poonia gave up her master's seat in Sussex University to move to Neil Island in the #Andamans to clean up th https://t.co/QzEk6uGyAo,5,3
