,Time,Tweet,Favorites,Retweets
0,2019-06-10 13:51:02,"Get SneakeyBag TODAY!\nUse promo code ""PLANET "" and get 20% off at checkout. #GETSNEAKEY #rockstarinventor https://t.co/DqHIzcVpOa",0,0
1,2019-06-10 06:40:55,RT @happyturtle_ind: Visit our website to check your plastic footprint\nhttps://t.co/yf1qOZolAT\n\n#footprintcalculator #plasticfootprintcalcu,0,1
2,2019-06-10 06:09:50,"EBD founder @R0bertaLee has been documenting her #zerowasteliving journey, taking its challenges in her stride. Her https://t.co/IkhdKaSK1g",5,0
3,2019-06-10 04:45:44,3pieces Family kit: bamboo toothbrush!#bamboo #bambootoothbrush #ecofriendly #ecofriendlyliving #toothbrush #dental https://t.co/rVTRFshcGJ,0,0
4,2019-06-10 00:34:59,#zerowasteshop #zerowasteshopping #waronwaste #reducewaste #waronwasteau #goingzerowaste #zerowasteliving https://t.co/1Q1MbPJ17a,0,0
5,2019-06-09 21:58:03,"Happinesses is on the field  pattedeaubio, animasoinbio Quebec  #animasoinbio #animasoinbiocanada #artisansoaps https://t.co/p9V8grOfX5",1,0
6,2019-06-09 20:59:42,RT @ToastAle: The awesome people at @zerowastenearme have complied the most amazing map highlighting all the #zerowaste shops across the UK,0,4
7,2019-06-09 18:46:14,The Dad in your life can always use a second set of hands. Get Sneakey! \n#farthersday #fathersday #fathersdaygifts https://t.co/OI7sznQrnE,0,0
8,2019-06-09 16:33:37,Visit our website to check your plastic footprint\nhttps://t.co/yf1qOZolAT\n\n#footprintcalculator https://t.co/R4BwF0vKck,1,1
9,2019-06-09 09:58:27,"RT @CoussinC: Informer, sensibiliser au #zrodchet pour faire des choix en conscience ! Belle ITW de @LaPlanneuse pour @ZD_Angers. Et un p",0,7
10,2019-06-09 06:48:40,"Come say hello and check out our vegan, natural and plastic free skin and hair care range on https://t.co/5jfiwjRsBe",2,0
11,2019-06-09 01:02:02,RT @tosynesther: Lets take a break from leather....\nPlastic and fabric it is today!\n.\n.\n.\n#sustainablefashion #earrings #kente #african #a,0,1
12,2019-06-09 00:56:50,Lets take a break from leather....\nPlastic and fabric it is today!\n.\n.\n.\n#sustainablefashion #earrings #kente https://t.co/rxX5ls4DkY,1,1
13,2019-06-09 00:00:05,Filled everything into our colourful bolga baskets to make the room tidy  \n\n https://t.co/C1UEBudwBv \n.\n.\n. https://t.co/7n1126fiFl,2,0
14,2019-06-08 23:37:28,#worldoceansday #saveouroceans #saveourplanet #reusable #banthebag #zerowasteliving #sneakeybag #sneakey https://t.co/Tqr1Y2FvcZ,0,0
15,2019-06-08 23:35:00,"Use promo code""PLANET "" and get 20% off of the COOLEST way to say you care.\n#GETSNEAKEY #rockstarinventor https://t.co/7DQ091jFHV",0,0
16,2019-06-08 23:21:03,Have a Sneakey Good Day.\n#GETSNEAKEY #rockstarinventor #shapesherpa #saveouroceans #saveourplanet #reusable https://t.co/GaItqvTrw3,0,0
17,2019-06-08 20:39:41,#GETSNEAKEY #rockstarinventor #shapesherpa #saveouroceans #saveourplanet #reusable #banthebag #zerowasteliving https://t.co/hMozGSBI4j,0,0
18,2019-06-08 20:38:55,#sneakeyclean #saveouroceans #saveourplanet #reusable #banthebag #zerowasteliving #sneakey #sneakeybag https://t.co/Dynjx82lAd,0,0
19,2019-06-08 11:20:13,RT @Devonshiremag: Great packaging from English Heritage - made from potato starch\n#proudtobegreen #ecofriendly #devonwildlifetrust  #plast,0,1
20,2019-06-08 09:00:02,RED HOT: Bright Red Jaeger Oversized Shirt Dress. SHOP NOW: https://t.co/xqkko0pPqt\n\n#vintage #jaeger https://t.co/DOfybvlNZO,1,0
