,Time,Tweet,Favorites,Retweets,Sentiment,keyPhrases
0,6/17/2019 23:56,$100 serum. Glass bottle. Tile floor. #SixWordHorror https://t.co/rSqnsEVjNm,4,1,0.731326163,"['Glass bottle', 'Tile floor', 'SixWordHorror', 'serum']"
1,6/17/2019 23:52,RT @mennara0703: This!! Ive never regretted drinking a glass/bottle of wine ever!! https://t.co/5nfbvGjBxw,0,1,0.873753726,"['glass', 'bottle of wine', 'RT', 'mennara0703', 'Ive']"
2,6/17/2019 23:51,@TheGlenlivet 1 year ago today I married my best friend and right before the wedding I received a gift from my soon https://t.co/GLIpQWzUjJ,0,0,0.852000952,"['wedding', 'best friend', 'year', 'TheGlenlivet', 'gift']"
3,6/17/2019 23:50,This!! Ive never regretted drinking a glass/bottle of wine ever!! https://t.co/5nfbvGjBxw,1,1,0.814648211,"['glass', 'bottle of wine', 'Ive']"
4,6/17/2019 23:48,@judahabadi @EmmaVigeland You almost got killed by a crazed lunatic wielding a broken glass bottle. Waaaaahh wahhh. https://t.co/uLYf8cAAlL,2,0,0.013718367,"['broken glass bottle', 'crazed lunatic', 'judahabadi', 'EmmaVigeland', 'Waaaaahh wahhh']"
5,6/17/2019 23:44,@croetter I fucking live off of the Starbucks glass bottle cold brews. They're fucking delicious,0,0,0.049032629,"['Starbucks glass bottle cold brews', 'croetter']"
6,6/17/2019 23:38,@Koryfrost @WorldofIsaac Orange in the glass faygo bottle,1,0,0.5,"['WorldofIsaac Orange', 'glass faygo bottle', 'Koryfrost']"
7,6/17/2019 23:35,RT @InterestingSci1: The glass bottle is octopus home  https://t.co/HjoE4M1pn6,0,204,0.699200511,"['glass bottle', 'InterestingSci1', 'octopus home', 'RT']"
8,6/17/2019 23:35,I aint even wasting a glass.. drinking straight out the bottle! #Gshit,1,1,0.860957503,"['aint', 'glass', 'bottle', 'Gshit']"
9,6/17/2019 23:34,RT @InterestingSci1: The glass bottle is octopus home  https://t.co/HjoE4M1pn6,0,204,0.699200511,"['glass bottle', 'InterestingSci1', 'octopus home', 'RT']"
10,6/17/2019 23:27,"Jeremiah pours a glass for each of them from the bottle, placing one in front of Cato.\n   There you go, darling. https://t.co/4cmvvxscOF",0,0,0.832235932,"['Jeremiah', 'glass', 'Cato', 'bottle']"
11,6/17/2019 23:25,"@BitchOfTheEast That hug felt too familiar.\n\nEl, wh-what are you doing here? He murmured, dropping the glass bott https://t.co/vzbXznOsr2",0,0,0.104260504,"['BitchOfTheEast', 'hug', 'glass bott', 'wh']"
12,6/17/2019 23:25,"@BlueKirby8 ""Any who"" *pulls out a bottle of whiskey pouts himself a glass and starts sipping it* ""How was it going https://t.co/SO2j1PmjbG",1,0,0.729955137,"['bottle of whiskey', 'glass', 'BlueKirby8']"
